,160002,160004,160006,160007,160009,160012,160013,160014,160016,160017,160022,160023,160026,160027,160028,160030
160001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
